Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,
,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,
,Sep．,"1,430 ",274 ,495 ,645 ,16 ,"56,547 ","25,608 ","23,843 ","7,085 ",11 ,"48,859 ","21,625 ","21,740 ","5,489 ",5 ,"6,464 ","3,342 ","1,778 ","1,344 ",,749 ,431 ,194 ,124 ,,475 ,210 ,131 ,,,"5,927 ","4,750 ",559 ,544 ,74 ,"4,386 ","3,808 ",301 ,235 ,42 ,"1,541 ",942 ,258 ,309 ,32 ,"12,767 ","6,067 ","3,235 ","1,294 ","2,171 ","9,969 ","4,628 ","2,223 ",971 ,"2,147 ","2,532 ","1,376 ",928 ,228 ,,266 ,63 ,84 ,95 ,24 ,188 ,60 ,67 ,17 ,44 ,"311,881 ","157,675 ","99,103 ","47,005 ","8,098 ",,,,,,,,,,,,,,,
,Oct．,"1,488 ",328 ,608 ,539 ,13 ,"69,983 ","37,220 ","27,360 ","5,400 ",3 ,"60,331 ","31,443 ","24,639 ","4,248 ",1 ,"8,319 ","5,007 ","2,376 ",935 ,1 ,862 ,530 ,224 ,107 ,1 ,471 ,240 ,121 ,,,"4,628 ","3,227 ",890 ,428 ,83 ,"2,951 ","2,244 ",453 ,198 ,56 ,"1,677 ",983 ,437 ,230 ,27 ,"9,858 ","3,841 ","3,275 ","1,231 ","1,511 ","7,602 ","2,956 ","2,177 ",971 ,"1,498 ","1,951 ",817 ,954 ,180 ,,305 ,68 ,144 ,80 ,13 ,229 ,73 ,93 ,27 ,36 ,"366,841 ","199,267 ","119,618 ","40,104 ","7,852 ",,,,,,,,,,,,,,,
,Nov．,"1,211 ",356 ,544 ,295 ,16 ,"57,619 ","26,558 ","25,876 ","5,180 ",5 ,"49,792 ","22,210 ","23,325 ","4,254 ",3 ,"6,839 ","3,811 ","2,233 ",794 ,1 ,655 ,373 ,222 ,60 ,,333 ,164 ,96 ,,,"3,861 ","2,563 ",820 ,396 ,82 ,"2,096 ","1,459 ",404 ,169 ,64 ,"1,765 ","1,104 ",416 ,227 ,18 ,"9,583 ","3,557 ","3,240 ",968 ,"1,818 ","7,473 ","2,623 ","2,346 ",692 ,"1,812 ","1,974 ",877 ,862 ,235 ,,136 ,57 ,32 ,41 ,6 ,197 ,79 ,68 ,17 ,33 ,"316,551 ","161,391 ","114,527 ","31,923 ","8,710 ",,,,,,,,,,,,,,,
,Dec．,744 ,225 ,269 ,225 ,25 ,"49,950 ","26,515 ","18,271 ","5,151 ",13 ,"42,769 ","21,578 ","16,848 ","4,333 ",10 ,"6,412 ","4,437 ","1,263 ",710 ,2 ,534 ,385 ,104 ,45 ,,235 ,115 ,56 ,,,"3,553 ","2,976 ",261 ,227 ,89 ,"2,575 ","2,277 ",125 ,115 ,58 ,978 ,699 ,136 ,112 ,31 ,"9,262 ","4,557 ","1,707 ",907 ,"2,091 ","7,254 ","3,323 ","1,200 ",651 ,"2,080 ","1,869 ","1,175 ",464 ,230 ,,139 ,59 ,43 ,26 ,11 ,329 ,162 ,90 ,8 ,69 ,"277,137 ","161,405 ","77,603 ","27,405 ","10,724 ",,,,,,,,,,,,,,,
,1997　Jan．,925 ,153 ,306 ,445 ,21 ,"56,332 ","20,324 ","22,454 ","13,537 ",17 ,"46,911 ","15,874 ","20,560 ","10,464 ",13 ,"8,465 ","3,981 ","1,656 ","2,825 ",3 ,636 ,330 ,156 ,150 ,,320 ,139 ,82 ,98 ,1 ,"3,972 ","2,692 ",356 ,809 ,115 ,"2,418 ","1,730 ",203 ,394 ,91 ,"1,554 ",962 ,153 ,415 ,24 ,"9,476 ","3,296 ","2,026 ","2,652 ","1,502 ","7,364 ","2,444 ","1,487 ","1,941 ","1,492 ","1,886 ",793 ,484 ,609 ,,226 ,59 ,55 ,102 ,10 ,309 ,79 ,77 ,30 ,123 ,"302,148 ","143,622 ","85,695 ","62,227 ","10,604 ",,,,,,,,,,,,,,,
,Feb．,711 ,177 ,272 ,240 ,22 ,"46,796 ","19,636 ","23,085 ","4,068 ",7 ,"39,544 ","15,302 ","21,034 ","3,205 ",3 ,"6,393 ","3,931 ","1,758 ",703 ,1 ,577 ,263 ,208 ,106 ,,282 ,140 ,85 ,54 ,3 ,"2,901 ","2,079 ",378 ,380 ,64 ,"1,966 ","1,498 ",193 ,218 ,57 ,935 ,581 ,185 ,162 ,7 ,"7,069 ","2,496 ","2,336 ",902 ,"1,335 ","5,411 ","1,808 ","1,612 ",658 ,"1,333 ","1,549 ",660 ,696 ,193 ,,109 ,28 ,28 ,51 ,2 ,342 ,181 ,74 ,24 ,63 ,"309,318 ","181,088 ","86,580 ","32,892 ","8,758 ",,,,,,,,,,,,,,,
,Mar．,"1,123 ",269 ,549 ,273 ,32 ,"66,526 ","32,580 ","26,546 ","7,389 ",11 ,"55,654 ","26,008 ","23,807 ","5,833 ",6 ,"9,311 ","5,795 ","2,191 ","1,325 ",,"1,175 ",619 ,410 ,146 ,,386 ,158 ,138 ,85 ,5 ,"4,149 ","2,906 ",688 ,458 ,97 ,"2,781 ","2,086 ",350 ,279 ,66 ,"1,368 ",820 ,338 ,179 ,31 ,"10,682 ","4,243 ","2,912 ","1,680 ","1,847 ","8,122 ","3,105 ","2,025 ","1,155 ","1,837 ","2,318 ","1,062 ",813 ,443 ,,242 ,76 ,74 ,82 ,10 ,359 ,186 ,96 ,19 ,58 ,"355,228 ","195,638 ","105,708 ","46,173 ","7,709 ",,,,,,,,,,,,,,,
,Apr．,"1,046 ",292 ,426 ,307 ,21 ,"65,790 ","32,096 ","26,108 ","7,578 ",8 ,"56,821 ","26,881 ","23,773 ","6,160 ",7 ,"7,829 ","4,610 ","2,006 ","1,213 ",,736 ,457 ,186 ,93 ,,404 ,148 ,143 ,112 ,1 ,"4,783 ","3,334 ",694 ,658 ,97 ,"3,063 ","2,329 ",315 ,343 ,76 ,"1,720 ","1,005 ",379 ,315 ,21 ,"10,299 ","4,498 ","2,907 ","1,509 ","1,385 ","7,435 ","2,969 ","2,014 ","1,080 ","1,372 ","2,660 ","1,472 ",841 ,347 ,,204 ,57 ,52 ,82 ,13 ,338 ,153 ,113 ,25 ,47 ,"364,875 ","209,324 ","103,890 ","44,685 ","6,976 ",,,,,,,,,,,,,,,
,May．,"1,385 ",379 ,525 ,454 ,27 ,"65,679 ","32,935 ","26,571 ","6,158 ",15 ,"56,680 ","27,774 ","24,156 ","4,743 ",7 ,"7,523 ","4,314 ","2,004 ","1,205 ",,"1,050 ",671 ,267 ,110 ,2 ,426 ,176 ,144 ,100 ,6 ,"4,380 ","3,149 ",671 ,470 ,90 ,"2,543 ","1,954 ",310 ,217 ,62 ,"1,837 ","1,195 ",361 ,253 ,28 ,"10,700 ","4,253 ","3,174 ","1,066 ","2,207 ","7,959 ","2,795 ","2,184 ",782 ,"2,198 ","2,555 ","1,412 ",950 ,193 ,,186 ,46 ,40 ,91 ,9 ,398 ,171 ,137 ,17 ,73 ,"350,961 ","196,823 ","106,345 ","37,804 ","9,989 ",,,,,,,,,,,,,,,
,Jun．,"1,071 ",266 ,447 ,342 ,16 ,"61,715 ","32,099 ","24,897 ","4,718 ",1 ,"54,312 ","27,637 ","22,794 ","3,880 ",1 ,"6,319 ","3,796 ","1,798 ",725 ,,710 ,478 ,174 ,58 ,,374 ,188 ,131 ,55 ,,"3,594 ","2,497 ",529 ,499 ,69 ,"2,207 ","1,590 ",255 ,306 ,56 ,"1,387 ",907 ,274 ,193 ,13 ,"11,921 ","5,193 ","2,735 ",931 ,"3,062 ","9,057 ","3,402 ","1,928 ",678 ,"3,049 ","2,576 ","1,678 ",736 ,162 ,,288 ,113 ,71 ,91 ,13 ,477 ,279 ,110 ,28 ,60 ,"345,070 ","199,452 ","101,949 ","31,495 ","12,174 ",,,,,,,,,,,,,,,
